compound_set,grouping,predictor,n_features,n_increase,n_decrease,median_coef,median_coef_background,p_KS,q_KS,p_wilcox,q_wilcox,p_sign,q_sign
Phenylpropanoids and polyketides,Superclass,Temp_avg_top,169,108,61,0.07867829719716819,0.03674909842924244,6.131518080474354e-4,0.0036789108482846123,0.0622906049675338,0.11974205810676139,0.04404764313819465,0.06607146470729197
"Nucleosides, nucleotides, and analogues",Superclass,Temp_avg_top,28,10,18,-0.07336790521388621,0.04284476433686209,0.5706934017735188,0.6848320821282226,0.06984953389561081,0.11974205810676139,0.022310113157384702,0.044620226314769404
Organosulfur compounds,Superclass,Temp_avg_top,6,5,1,0.2641396229999033,0.040974690398846304,0.06526266880075005,0.1566304051218001,0.09789861294247193,0.1468479194137079,0.24560503565968556,0.3274733808795807
Organic oxygen compounds,Superclass,Temp_avg_top,116,62,54,0.02271686510695339,0.04300102585967091,0.27377344617941246,0.4106601692691187,0.15502504510480958,0.2067000601397461,0.4000211035006235,0.48002532420074817
Benzenoids,Superclass,Temp_avg_top,127,83,44,0.05452309539921188,0.039746882965218874,0.06204024574379118,0.1566304051218001,0.42858364279977046,0.5143003713597245,0.03993090356698406,0.06607146470729197
Organic nitrogen compounds,Superclass,Temp_avg_top,41,25,16,0.06424623780126744,0.04095550745841822,0.4750648428144493,0.6334197904192657,0.5776498535593118,0.6301634766101583,0.6393595857693055,0.6393595857693055
Hydrocarbons,Superclass,Temp_avg_top,15,10,5,0.028007602532907124,0.041418107744449636,0.1982886782717519,0.33992344846586037,0.9933539262550648,0.9933539262550648,0.6041061402164404,0.6393595857693055
Organic acids and derivatives,Superclass,WT_drawdown,349,76,273,-0.3279411723902485,-0.10641032278549283,1.3840169305157386e-60,1.6608203166188862e-59,7.990475811139633e-13,9.588570973367558e-12,1.2849964619058384e-5,1.541995754287006e-4
Phenylpropanoids and polyketides,Superclass,WT_drawdown,169,65,104,-0.08030243487572886,-0.14914854421148843,1.6974347701918734e-4,4.073843448460496e-4,2.3478704944412954e-4,0.0014087222966647772,0.008476051788971551,0.033904207155886205
Organic oxygen compounds,Superclass,WT_drawdown,116,43,73,-0.06377788962489378,-0.14814867235913193,3.564163815166738e-5,1.0692491445500214e-4,7.300240815972803e-4,0.002920096326389121,0.08305530819775381,0.16611061639550762
Benzenoids,Superclass,WT_drawdown,127,57,70,-0.02364159598785017,-0.1485241550666361,0.0059799599758082085,0.011870967191566946,0.002412895483757227,0.007238686451271681,1.1439564689513917e-4,6.86373881370835e-4
"Nucleosides, nucleotides, and analogues",Superclass,WT_drawdown,28,4,24,-0.3231061037050611,-0.13682076060237403,0.05106081271528706,0.0765912190729306,0.011085831974797296,0.02660599673951351,0.06676067452490367,0.1602256188597688
Alkaloids and derivatives,Superclass,WT_drawdown,25,5,20,-0.06280207291317413,-0.14303092114346905,0.6208671223409242,0.745040546809109,0.12406850559647742,0.21709569304599757,0.3832936189345697,0.5244617670443341
Organic nitrogen compounds,Superclass,WT_drawdown,41,15,26,-0.08949130739036526,-0.14096295478641913,0.3393791327224299,0.4525055102965732,0.12663915427683192,0.21709569304599757,0.39334632528325064,0.5244617670443341
Hydrocarbons,Superclass,WT_drawdown,15,7,8,-0.016862180118777863,-0.14114566907847517,0.9162746009117493,0.9162746009117493,0.17840582296671137,0.26760873445006705,0.16501790935229801,0.28288784460393945
Lipids and lipid-like molecules,Superclass,WT_drawdown,410,106,304,-0.14764425884091797,-0.13593642753755503,1.7350613609002407e-19,1.0410368165401445e-18,0.21667724192972712,0.28890298923963614,0.01250054394022897,0.037501631820686915
Organoheterocyclic compounds,Superclass,WT_drawdown,267,85,182,-0.11330821476885597,-0.14597708397104694,1.158734634549364e-15,4.634938538197456e-15,0.29928582961183525,0.3426516526798895,0.46125122876942876,0.5535014745233144
Organosulfur compounds,Superclass,WT_drawdown,6,2,4,-0.39863935346626284,-0.13926015008869175,0.006924730861747386,0.011870967191566946,0.3140973482898987,0.3426516526798895,1,1
"Lignans, neolignans and related compounds",Superclass,WT_drawdown,8,2,6,-0.0968476986530342,-0.14095182666501066,0.8921833424718421,0.9162746009117493,0.7325015494333997,0.7325015494333997,1,1
